name,year,seller_type,transmission,owner,count_of_cars,avg_selling_price,min_selling_price,max_selling_price
Ambassador CLASSIC 1500 DSL AC,2005,Individual,Manual,Second Owner,2,120000.0,120000,120000
Ambassador Classic 2000 Dsz,2002,Individual,Manual,Fourth & Above Owner,1,50000.0,50000,50000
Ambassador Grand 1800 ISZ MPFI PW CL,2012,Individual,Manual,Second Owner,1,430000.0,430000,430000
Audi A4 1.8 TFSI,2012,Individual,Automatic,Third Owner,1,1200000.0,1200000,1200000
Audi A4 2.0 TDI,2011,Dealer,Automatic,First Owner,1,1295000.0,1295000,1295000
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,Dealer,Automatic,First Owner,2,1150000.0,1150000,1150000
Audi A4 3.0 TDI Quattro,2013,Dealer,Automatic,First Owner,12,1580000.0,1580000,1580000
Audi A4 30 TFSI Technology,2018,Individual,Automatic,First Owner,2,3100000.0,3100000,3100000
Audi A4 35 TDI Premium,2015,Individual,Automatic,Third Owner,1,2300000.0,2300000,2300000
Audi A4 35 TDI Premium Plus,2019,Dealer,Automatic,First Owner,1,3256000.0,3256000,3256000
Audi A4 New  2.0 TDI Multitronic,2014,Dealer,Automatic,First Owner,1,1549000.0,1549000,1549000
Audi A5 Sportback,2020,Individual,Automatic,First Owner,1,4700000.0,4700000,4700000
Audi A6 2.0 TDI  Design Edition,2013,Dealer,Automatic,First Owner,1,1735000.0,1735000,1735000
Audi A6 2.0 TDI  Design Edition,2014,Dealer,Automatic,First Owner,2,1750000.0,1750000,1750000
Audi A6 2.0 TDI Premium Plus,2013,Dealer,Automatic,First Owner,11,1300000.0,1300000,1300000
Audi A6 2.0 TDI Premium Plus,2014,Dealer,Automatic,Second Owner,2,1470000.0,1470000,1470000
Audi A6 2.7 TDI,2010,Individual,Automatic,First Owner,1,850000.0,850000,850000
Audi A6 2.8 FSI,2008,Individual,Automatic,Third Owner,1,650000.0,650000,650000
Audi A8 4.2 TDI,2013,Dealer,Automatic,First Owner,2,2800000.0,2800000,2800000
Audi A8 L 3.0 TDI quattro,2009,Dealer,Automatic,Second Owner,1,1250000.0,1250000,1250000
Audi Q3 2.0 TDI Quattro Premium Plus,2012,Individual,Automatic,Second Owner,1,1400000.0,1400000,1400000
Audi Q3 2.0 TDI Quattro Premium Plus,2014,Individual,Automatic,Second Owner,1,1150000.0,1150000,1150000
Audi Q3 2.0 TDI Quattro Premium Plus,2015,Dealer,Automatic,First Owner,2,1750000.0,1750000,1750000
Audi Q3 35 TDI Quattro Technology,2017,Dealer,Automatic,First Owner,1,2575000.0,2575000,2575000
Audi Q3 35 TDI Quattro Technology,2018,Individual,Automatic,First Owner,1,2700000.0,2700000,2700000
Audi Q5 2.0 TDI,2011,Dealer,Automatic,First Owner,1,1190000.0,1190000,1190000
Audi Q5 2.0 TDI,2012,Individual,Automatic,Second Owner,1,1350000.0,1350000,1350000
Audi Q5 2.0 TDI,2015,Individual,Automatic,First Owner,1,3500000.0,3500000,3500000
Audi Q5 2.0 TFSI Quattro,2010,Individual,Automatic,First Owner,1,1100000.0,1100000,1100000
Audi Q5 2.0 TFSI Quattro Premium Plus,2014,Dealer,Automatic,First Owner,2,1850000.0,1850000,1850000
Audi Q5 3.0 TDI Quattro Technology,2015,Dealer,Automatic,First Owner,1,3200000.0,3200000,3200000
Audi Q5 3.0 TDI Quattro Technology,2018,Dealer,Automatic,First Owner,2,3899000.0,3899000,3899000
Audi Q7 35 TDI Quattro Premium,2009,Dealer,Automatic,Third Owner,1,1250000.0,1250000,1250000
Audi RS7 2015-2019 Sportback Performance,2016,Dealer,Automatic,First Owner,1,8900000.0,8900000,8900000
BMW 3 Series 320d Luxury Line,2015,Individual,Automatic,First Owner,1,2200000.0,2200000,2200000
BMW 3 Series 320d Luxury Line,2016,Dealer,Automatic,First Owner,1,2150000.0,2150000,2150000
BMW 3 Series 320d Luxury Line,2018,Individual,Automatic,First Owner,1,2300000.0,2300000,2300000
BMW 3 Series 320d Sport,2013,Dealer,Automatic,First Owner,2,1745000.0,1490000,2000000
BMW 3 Series 320d Sport Line,2013,Dealer,Automatic,Second Owner,1,1550000.0,1550000,1550000
BMW 3 Series GT Luxury Line,2017,Individual,Automatic,First Owner,1,3050000.0,3050000,3050000
BMW 5 Series 520d Luxury Line,2017,Individual,Automatic,First Owner,2,2900000.0,2900000,2900000
BMW 5 Series 520d Luxury Line,2018,Individual,Automatic,First Owner,1,4800000.0,4800000,4800000
BMW 5 Series 520d Luxury Line,2019,Dealer,Automatic,First Owner,1,4800000.0,4800000,4800000
BMW 5 Series 525d Sedan,2009,Individual,Automatic,Third Owner,1,1200000.0,1200000,1200000
BMW 5 Series 530i,2006,Individual,Automatic,Second Owner,1,480000.0,480000,480000
BMW 7 Series 730Ld,2006,Dealer,Automatic,First Owner,2,1050000.0,1050000,1050000
BMW 7 Series 730Ld,2011,Individual,Automatic,Second Owner,1,1700000.0,1700000,1700000
BMW 7 Series 730Ld,2012,Dealer,Automatic,First Owner,1,2500000.0,2500000,2500000
BMW 7 Series Signature 730Ld,2014,Individual,Automatic,First Owner,1,4000000.0,4000000,4000000
BMW X1 sDrive 20d Exclusive,2011,Individual,Automatic,First Owner,1,1375000.0,1375000,1375000
BMW X1 sDrive 20d xLine,2017,Individual,Automatic,First Owner,3,2633333.3333333335,2400000,2750000
BMW X1 sDrive 20d xLine,2019,Individual,Automatic,First Owner,2,2600000.0,2600000,2600000
BMW X1 sDrive20d,2011,Individual,Automatic,Second Owner,1,890000.0,890000,890000
BMW X1 sDrive20d,2012,Individual,Automatic,Second Owner,2,725000.0,700000,750000
BMW X1 sDrive20d M Sport,2014,Dealer,Automatic,First Owner,1,1485000.0,1485000,1485000
BMW X5 xDrive 30d xLine,2019,Dealer,Automatic,First Owner,11,4950000.0,4950000,4950000
Chevrolet Aveo 1.4,2007,Individual,Manual,Second Owner,1,85000.0,85000,85000
Chevrolet Aveo 1.4 CNG,2011,Individual,Manual,First Owner,1,229999.0,229999,229999
Chevrolet Aveo 1.4 LS,2008,Dealer,Manual,First Owner,1,170000.0,170000,170000
Chevrolet Aveo 1.4 LS,2010,Dealer,Manual,First Owner,1,200000.0,200000,200000
Chevrolet Aveo 1.4 LT BSIV,2009,Individual,Manual,First Owner,1,250000.0,250000,250000
Chevrolet Aveo 1.6 LT,2006,Individual,Manual,Third Owner,1,150000.0,150000,150000
Chevrolet Aveo 1.6 LT with ABS,2010,Individual,Manual,Second Owner,1,140000.0,140000,140000
Chevrolet Aveo U-VA 1.2,2007,Individual,Manual,Second Owner,1,80000.0,80000,80000
Chevrolet Aveo U-VA 1.2 LS,2008,Individual,Manual,First Owner,1,160000.0,160000,160000
Chevrolet Aveo U-VA 1.2 LS,2009,Dealer,Manual,First Owner,1,130000.0,130000,130000
Chevrolet Aveo U-VA 1.2 LS,2009,Individual,Manual,Second Owner,1,210000.0,210000,210000
Chevrolet Aveo U-VA 1.2 LS,2010,Individual,Manual,First Owner,1,140000.0,140000,140000
Chevrolet Aveo U-VA 1.2 LT,2008,Individual,Manual,Third Owner,1,114999.0,114999,114999
Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,Individual,Manual,Second Owner,1,110000.0,110000,110000
Chevrolet Beat Diesel,2012,Individual,Manual,First Owner,2,160000.0,160000,160000
Chevrolet Beat Diesel,2012,Individual,Manual,Second Owner,1,160000.0,160000,160000
Chevrolet Beat Diesel,2013,Individual,Manual,Second Owner,1,165000.0,165000,165000
Chevrolet Beat Diesel LS,2011,Individual,Manual,First Owner,2,100500.0,95000,106000
Chevrolet Beat Diesel LS,2012,Dealer,Manual,First Owner,1,180000.0,180000,180000
Chevrolet Beat Diesel LS,2012,Individual,Manual,First Owner,6,153333.33333333334,120000,200000
Chevrolet Beat Diesel LS,2012,Individual,Manual,Second Owner,1,220000.0,220000,220000
Chevrolet Beat Diesel LS,2013,Dealer,Manual,First Owner,1,195000.0,195000,195000
Chevrolet Beat Diesel LS,2013,Individual,Manual,First Owner,1,190000.0,190000,190000
Chevrolet Beat Diesel LS,2013,Individual,Manual,Second Owner,2,130000.0,130000,130000
Chevrolet Beat Diesel LS,2014,Individual,Manual,First Owner,2,312500.0,305000,320000
Chevrolet Beat Diesel LT,2011,Dealer,Manual,Second Owner,1,221000.0,221000,221000
Chevrolet Beat Diesel LT,2011,Individual,Manual,Second Owner,2,130000.0,130000,130000
Chevrolet Beat Diesel LT,2012,Individual,Manual,First Owner,7,188571.42857142858,120000,250000
Chevrolet Beat Diesel LT,2012,Individual,Manual,Second Owner,1,200000.0,200000,200000
Chevrolet Beat Diesel LT,2012,Individual,Manual,Third Owner,1,126000.0,126000,126000
Chevrolet Beat Diesel LT,2013,Individual,Manual,First Owner,2,184000.0,173000,195000
